supplier_id,period,on_time_delivery_rate,fill_rate,defect_rate,average_delay_days,quality_score
SUP001,2026-08-01,0.995,0.9553,0.0278,0,88.7
SUP001,2026-07-01,0.9517,0.9288,0.0166,0,91.1
SUP001,2026-06-01,0.958,0.9296,0.0114,1.11,93.8
SUP001,2026-05-01,0.9638,0.9277,0.0073,0,97.4
SUP001,2026-04-01,0.9534,0.9773,0.0075,1.46,97.0
SUP001,2026-03-01,0.9659,0.9961,0.011,0.13,94.9
SUP001,2026-02-01,0.9246,0.951,0.014,1.71,91.9
SUP001,2026-01-01,0.913,0.9385,0.0202,0,92.0
SUP001,2025-12-01,0.9922,0.9588,0.0121,0,92.3
SUP001,2025-11-01,0.9089,0.9781,0.002,0.78,98.5
SUP001,2025-10-01,0.9668,0.9842,0.0189,0.53,91.2
SUP001,2025-09-01,0.9423,0.9664,0.0076,0.78,95.1
SUP002,2026-08-01,0.995,0.9709,0.0053,0,95.7
SUP002,2026-07-01,0.995,0.9877,0.0145,0.3,94.5
SUP002,2026-06-01,0.9442,1,0.002,1.59,96.0
SUP002,2026-05-01,0.9715,0.977,0.017,0.46,90.6
SUP002,2026-04-01,0.9419,0.996,0.0093,0,94.0
SUP002,2026-03-01,0.9939,0.9615,0.0116,0.13,95.8
SUP002,2026-02-01,0.9499,0.9385,0.0095,1.82,93.9
SUP002,2026-01-01,0.995,0.9964,0.007,0,94.5
SUP002,2025-12-01,0.988,0.9641,0.0139,0.25,92.8
SUP002,2025-11-01,0.995,0.9602,0.0064,0,95.2
SUP002,2025-10-01,0.9604,0.9584,0.0093,0,94.6
SUP002,2025-09-01,0.995,1,0.0086,0,95.5
SUP003,2026-08-01,0.8822,0.9439,0.0222,2.72,89.6
SUP003,2026-07-01,0.9809,0.9615,0.0207,0,90.5
SUP003,2026-06-01,0.8584,0.9384,0.0368,1.56,85.0
SUP003,2026-05-01,0.8717,0.9155,0.0187,2.05,92.9
SUP003,2026-04-01,0.9501,0.8845,0.0448,1.45,84.7
SUP003,2026-03-01,0.8639,0.9299,0.0292,1.77,87.2
SUP003,2026-02-01,0.9208,0.9381,0.0328,0.25,86.0
SUP003,2026-01-01,0.9023,0.9032,0.05,1.3,83.6
SUP003,2025-12-01,0.9032,0.8939,0.0312,0,87.4
SUP003,2025-11-01,0.8487,0.9249,0.0353,2.13,85.9
SUP003,2025-10-01,0.8948,0.9533,0.0209,1.43,91.6
SUP003,2025-09-01,0.9099,0.9,0.0288,0.47,89.8
SUP004,2026-08-01,0.9704,0.9649,0.0212,1.03,90.2
SUP004,2026-07-01,0.9635,0.9697,0.002,0.57,95.5
SUP004,2026-06-01,0.9256,0.9505,0.0182,1.2,93.3
SUP004,2026-05-01,0.9563,0.9575,0.0077,0.39,93.6
SUP004,2026-04-01,0.9027,0.9409,0.0253,2.32,89.9
SUP004,2026-03-01,0.9857,0.9302,0.0055,0.34,97.5
SUP004,2026-02-01,0.995,0.9725,0.002,0.27,97.8
SUP004,2026-01-01,0.995,0.9695,0.0183,0.21,91.9
SUP004,2025-12-01,0.9167,1,0.024,1.92,89.9
SUP004,2025-11-01,0.9601,0.9364,0.0053,0.35,96.5
SUP004,2025-10-01,0.995,0.8952,0.0102,1.11,94.3
SUP004,2025-09-01,0.9485,0.8931,0.0154,1.15,92.4
SUP005,2026-08-01,0.9557,0.9593,0.0184,0.56,92.3
SUP005,2026-07-01,0.9196,0.9348,0.0193,2.21,91.0
SUP005,2026-06-01,0.8926,0.9572,0.0304,0.64,87.8
SUP005,2026-05-01,0.9006,0.897,0.0089,1.65,94.6
