product_id,product_name,category,unit_cost
PRD001,Spices Item 1,Spices,366.44
PRD002,Packaging Item 2,Packaging,1284.55
PRD003,Packaging Item 3,Packaging,950.26
PRD004,Spices Item 4,Spices,1245.74
PRD005,Ingredients Item 5,Ingredients,674.67
PRD006,Packaging Item 6,Packaging,1709.51
PRD007,Dairy Inputs Item 7,Dairy Inputs,1132.99
PRD008,Packaging Item 8,Packaging,1303.97
PRD009,Dairy Inputs Item 9,Dairy Inputs,927.61
PRD010,Edible Oils Item 10,Edible Oils,607.34
PRD011,Dairy Inputs Item 11,Dairy Inputs,1011.31
PRD012,Ingredients Item 12,Ingredients,774.19
PRD013,Edible Oils Item 13,Edible Oils,1228.85
PRD014,Ingredients Item 14,Ingredients,1119.46
PRD015,Dairy Inputs Item 15,Dairy Inputs,748.75
PRD016,Packaging Item 16,Packaging,567.86
PRD017,Ingredients Item 17,Ingredients,790.9
PRD018,Spices Item 18,Spices,1103.79
PRD019,Dairy Inputs Item 19,Dairy Inputs,853.03
PRD020,Edible Oils Item 20,Edible Oils,1225.86
PRD021,Spices Item 21,Spices,867.54
PRD022,Ingredients Item 22,Ingredients,1196.17
PRD023,Dairy Inputs Item 23,Dairy Inputs,942.35
PRD024,Spices Item 24,Spices,623.28
PRD025,Ingredients Item 25,Ingredients,1220.85
PRD026,Ingredients Item 26,Ingredients,1457.62
PRD027,Ingredients Item 27,Ingredients,73.23
PRD028,Ingredients Item 28,Ingredients,1771.57
PRD029,Spices Item 29,Spices,1534.04
PRD030,Packaging Item 30,Packaging,836.09
PRD031,Spices Item 31,Spices,374.15
PRD032,Edible Oils Item 32,Edible Oils,905.05
PRD033,Ingredients Item 33,Ingredients,291.2
PRD034,Packaging Item 34,Packaging,1610.01
PRD035,Packaging Item 35,Packaging,1407.8
PRD036,Ingredients Item 36,Ingredients,341.32
PRD037,Spices Item 37,Spices,852.25
PRD038,Spices Item 38,Spices,471.08
PRD039,Packaging Item 39,Packaging,837.94
PRD040,Edible Oils Item 40,Edible Oils,1211.61
